eval_subj	num_regions	train_dataset	train_ses	train_type	cerebellum	cortex	method	logalpha	R_train	rmse_train	R_cv	rmse_cv	eval_dataset	eval_ses	parcellation	crossed	add_rest	splitby	type	cv_fold	model	R_eval	R2_eval	noise_Y_R	noise_Y_R2	noise_X_R	noise_X_R2	noiseceiling_Y	noiseceiling_XY	R_eval_adj	nanY	nanXY	nanXR	isbest	extension
sub-02	1876	Nishimoto	all	CondHalf	SUIT3	fs32k	L2regression	10.0	0.5616409236512451	0.1396410054952732			MDTB	all	Icosahedron1002	half	True		CondHalf		avg	0.1731539521816128	0.0233254945789085	0.1514686555113923	-0.6970626889772154	0.3984543166811825	-0.203091366637635	0.38918974229980974	0.24566916703243255	0.7048257389123378	False	False	False	True	
sub-03	1876	Nishimoto	all	CondHalf	SUIT3	fs32k	L2regression	10.0	0.5616409236512451	0.1396410054952732			MDTB	all	Icosahedron1002	half	True		CondHalf		avg	0.147816277190786	0.020341047921608	0.1793174241688863	-0.6413651516622272	0.3025858115019575	-0.394828376996085	0.4234588813201186	0.23293541660422357	0.634580517405552	False	False	False	True	
sub-04	1876	Nishimoto	all	CondHalf	SUIT3	fs32k	L2regression	10.0	0.5616409236512451	0.1396410054952732			MDTB	all	Icosahedron1002	half	True		CondHalf		avg	0.1166296778171858	0.0119837783121932	0.0802147141754015	-0.8395705716491966	0.3208556294058265	-0.3582887411883468	0.2832220227584739	0.1604286215248293	0.7269879695322021	False	False	False	True	
sub-06	1876	Nishimoto	all	CondHalf	SUIT3	fs32k	L2regression	10.0	0.5616409236512451	0.1396410054952732			MDTB	all	Icosahedron1002	half	True		CondHalf		avg	0.2757674383946834	0.0520764082741093	0.3553592998724807	-0.2892814002550385	0.453847904916546	-0.0923041901669079	0.5961202058917989	0.4015956595130679	0.6866793299734603	False	False	False	True	
sub-08	1876	Nishimoto	all	CondHalf	SUIT3	fs32k	L2regression	10.0	0.5616409236512451	0.1396410054952732			MDTB	all	Icosahedron1002	half	True		CondHalf		avg	0.2677784606822808	0.0412005471588236	0.1328855526168031	-0.734228894766394	0.4487539349828205	-0.1024921300343588	0.3645347070126562	0.24419851481767255	1.0965605621402483	False	False	False	True	
sub-09	1876	Nishimoto	all	CondHalf	SUIT3	fs32k	L2regression	10.0	0.5616409236512451	0.1396410054952732			MDTB	all	Icosahedron1002	half	True		CondHalf		avg	0.2041100742819942	0.0354316045085579	0.2259139371755897	-0.5481721256488208	0.4405819463053149	-0.1188361073893702	0.47530404708522067	0.31548946438560815	0.6469632026523711	False	False	False	True	
sub-10	1876	Nishimoto	all	CondHalf	SUIT3	fs32k	L2regression	10.0	0.5616409236512451	0.1396410054952732			MDTB	all	Icosahedron1002	half	True		CondHalf		avg	0.3381494579233863	0.0659734997345048	0.3033217144712609	-0.393356571057478	0.4542895054412189	-0.0914209891175621	0.5507465065447632	0.3712086632296338	0.9109417193590745	False	False	False	True	
sub-12	1876	Nishimoto	all	CondHalf	SUIT3	fs32k	L2regression	10.0	0.5616409236512451	0.1396410054952732			MDTB	all	Icosahedron1002	half	True		CondHalf		avg	0.2564064853200594	0.0426739341412223	0.2184016821152833	-0.5631966357694336	0.4366738824733226	-0.1266522350533545	0.46733465751566433	0.30882083878518496	0.8302758529142366	False	False	False	True	
sub-14	1876	Nishimoto	all	CondHalf	SUIT3	fs32k	L2regression	10.0	0.5616409236512451	0.1396410054952732			MDTB	all	Icosahedron1002	half	True		CondHalf		avg	0.2118383692585689	0.0313755387705002	0.178174185284318	-0.6436516294313641	0.3953590479744745	-0.2092819040510509	0.42210684107737223	0.2654105805495244	0.7981534452016348	False	False	False	True	
sub-15	1876	Nishimoto	all	CondHalf	SUIT3	fs32k	L2regression	10.0	0.5616409236512451	0.1396410054952732			MDTB	all	Icosahedron1002	half	True		CondHalf		avg	0.223211160942624	0.0366469621604763	0.1749076148005836	-0.6501847703988328	0.4610521966110251	-0.0778956067779497	0.41821957725647374	0.2839745411261441	0.7860252544381137	False	False	False	True	
