traindata	method	extension	cort_size	cereb_size	name	color_r	color_g	color_b
WfIbDeHtNiSoScLa	NNLS	A0_global	6.567403192558646	3.396705098607074	01.VisualA	0.46875	0.070312	0.523438
WfIbDeHtNiSoScLa	NNLS	A0_global	5.751375662277041	2.019622978967216	02.VisualB	0.996094	0.0	0.0
WfIbDeHtNiSoScLa	NNLS	A0_global	10.066611015519856	11.483040992787592	03.SomatomotorA	0.273438	0.507812	0.703125
WfIbDeHtNiSoScLa	NNLS	A0_global	8.354486447810014	4.732386424986149	04.SomatomotorB	0.164062	0.796875	0.640625
WfIbDeHtNiSoScLa	NNLS	A0_global	5.9711409052965125	4.478281213772171	05.DorsalAttentionA	0.289062	0.605469	0.234375
WfIbDeHtNiSoScLa	NNLS	A0_global	5.821223530213461	7.252813829102074	06.DorsalAttentionB	0.0	0.460938	0.054688
WfIbDeHtNiSoScLa	NNLS	A0_global	8.366411693555257	5.6259344747982425	07.VentralAttentionA	0.765625	0.226562	0.976562
WfIbDeHtNiSoScLa	NNLS	A0_global	5.529906812722533	5.187356889512099	08.VentralAttentionB	0.996094	0.59375	0.832031
WfIbDeHtNiSoScLa	NNLS	A0_global	4.0154006030767135	2.1514414585687907	09.LimbicA	0.859375	0.96875	0.640625
WfIbDeHtNiSoScLa	NNLS	A0_global	3.4429888073050647	14.99344230081266	10.LimbicB	0.476562	0.527344	0.195312
WfIbDeHtNiSoScLa	NNLS	A0_global	2.3407553791376343	1.1691324369305942	11.ControlC	0.464844	0.546875	0.6875
WfIbDeHtNiSoScLa	NNLS	A0_global	5.977955331436651	11.328124844552073	12.ControlA	0.898438	0.578125	0.132812
WfIbDeHtNiSoScLa	NNLS	A0_global	5.899589430825056	8.297414152651447	13.ControlB	0.527344	0.195312	0.289062
WfIbDeHtNiSoScLa	NNLS	A0_global	3.5639448712925264	4.928513621118227	14.TemporalParietal	0.046875	0.1875	0.996094
WfIbDeHtNiSoScLa	NNLS	A0_global	2.400381607863848	0.96702993344688	15.DefaultC	0.0	0.0	0.507812
WfIbDeHtNiSoScLa	NNLS	A0_global	8.163682515886132	4.510685794993738	16.DefaultA	0.996094	0.996094	0.0
WfIbDeHtNiSoScLa	NNLS	A0_global	7.7667421932230525	7.478073554392973	17.DefaultB	0.800781	0.242188	0.304688
MdIbDeHtNiSoScLa	NNLS	A0_global	6.567403192558646	2.6720276638602756	01.VisualA	0.46875	0.070312	0.523438
MdIbDeHtNiSoScLa	NNLS	A0_global	5.751375662277041	2.525188746346718	02.VisualB	0.996094	0.0	0.0
MdIbDeHtNiSoScLa	NNLS	A0_global	10.066611015519856	12.038269325978543	03.SomatomotorA	0.273438	0.507812	0.703125
MdIbDeHtNiSoScLa	NNLS	A0_global	8.354486447810014	4.802765886119824	04.SomatomotorB	0.164062	0.796875	0.640625
MdIbDeHtNiSoScLa	NNLS	A0_global	5.9711409052965125	4.775989769092401	05.DorsalAttentionA	0.289062	0.605469	0.234375
MdIbDeHtNiSoScLa	NNLS	A0_global	5.821223530213461	7.184611349769836	06.DorsalAttentionB	0.0	0.460938	0.054688
MdIbDeHtNiSoScLa	NNLS	A0_global	8.366411693555257	5.867635575509044	07.VentralAttentionA	0.765625	0.226562	0.976562
MdIbDeHtNiSoScLa	NNLS	A0_global	5.529906812722533	5.16179072173979	08.VentralAttentionB	0.996094	0.59375	0.832031
MdIbDeHtNiSoScLa	NNLS	A0_global	4.0154006030767135	1.6647490025008156	09.LimbicA	0.859375	0.96875	0.640625
MdIbDeHtNiSoScLa	NNLS	A0_global	3.4429888073050647	12.792938715215616	10.LimbicB	0.476562	0.527344	0.195312
MdIbDeHtNiSoScLa	NNLS	A0_global	2.3407553791376343	1.604885616663893	11.ControlC	0.464844	0.546875	0.6875
MdIbDeHtNiSoScLa	NNLS	A0_global	5.977955331436651	12.213633011168202	12.ControlA	0.898438	0.578125	0.132812
MdIbDeHtNiSoScLa	NNLS	A0_global	5.899589430825056	8.40056562994453	13.ControlB	0.527344	0.195312	0.289062
MdIbDeHtNiSoScLa	NNLS	A0_global	3.5639448712925264	4.813386433649825	14.TemporalParietal	0.046875	0.1875	0.996094
MdIbDeHtNiSoScLa	NNLS	A0_global	2.400381607863848	0.7039523001635974	15.DefaultC	0.0	0.0	0.507812
MdIbDeHtNiSoScLa	NNLS	A0_global	8.163682515886132	4.424843388118585	16.DefaultA	0.996094	0.996094	0.0
MdIbDeHtNiSoScLa	NNLS	A0_global	7.7667421932230525	8.352766864158518	17.DefaultB	0.800781	0.242188	0.304688
MdWfDeHtNiSoScLa	NNLS	A0_global	6.567403192558646	2.3643066262257246	01.VisualA	0.46875	0.070312	0.523438
MdWfDeHtNiSoScLa	NNLS	A0_global	5.751375662277041	2.232217730526554	02.VisualB	0.996094	0.0	0.0
MdWfDeHtNiSoScLa	NNLS	A0_global	10.066611015519856	12.776370910652213	03.SomatomotorA	0.273438	0.507812	0.703125
MdWfDeHtNiSoScLa	NNLS	A0_global	8.354486447810014	5.579444050322037	04.SomatomotorB	0.164062	0.796875	0.640625
MdWfDeHtNiSoScLa	NNLS	A0_global	5.9711409052965125	4.688389833728017	05.DorsalAttentionA	0.289062	0.605469	0.234375
MdWfDeHtNiSoScLa	NNLS	A0_global	5.821223530213461	7.155615029605089	06.DorsalAttentionB	0.0	0.460938	0.054688
MdWfDeHtNiSoScLa	NNLS	A0_global	8.366411693555257	5.619667035520432	07.VentralAttentionA	0.765625	0.226562	0.976562
MdWfDeHtNiSoScLa	NNLS	A0_global	5.529906812722533	4.788649307231001	08.VentralAttentionB	0.996094	0.59375	0.832031
MdWfDeHtNiSoScLa	NNLS	A0_global	4.0154006030767135	1.8314171319421368	09.LimbicA	0.859375	0.96875	0.640625
