task_code	cond_code	n_rep	task_name	cond_name	instruction	common	names	cond_num	sess	cond	cortical_act	cerebellar_act	dataset
gng	ngo	16.0	GoNoGo	NoGo	0.0	0.0	gng_ngo	1	ses-s1	gng_ngo	-0.02478112566357581	-0.0072812740860060746	MDTB
gng	go	16.0	GoNoGo	Go	0.0	0.0	gng_go	2	ses-s1	gng_go	-0.025439901413026746	0.0048739570114628905	MDTB
tom	task	16.0	ToM	ToM	0.0	1.0	tom_task	3	ses-s1	tom_task	0.03364464824931209	0.022042840451986012	MDTB
actobserv	action	16.0	actionObservation	VideoAct	0.0	1.0	actobserv_action	4	ses-s1	actobserv_action	0.045552843516375896	-0.004459857888853399	MDTB
actobserv	knot	16.0	actionObservation	VideoKnots	0.0	1.0	actobserv_knot	5	ses-s1	actobserv_knot	0.042989589982754775	0.004119175537026086	MDTB
affect	unpleasant	16.0	affective	UnpleasantScenes	0.0	0.0	affect_unpleasant	6	ses-s1	affect_unpleasant	0.01644720876610941	-0.016597465353054355	MDTB
affect	pleasant	16.0	affective	PleasantScenes	0.0	0.0	affect_pleasant	7	ses-s1	affect_pleasant	0.0077974134317734985	-0.012023439429882352	MDTB
arith	math	16.0	arithmetic	Math	0.0	0.0	arith_math	8	ses-s1	arith_math	-0.02903176445941846	0.003631148043335586	MDTB
arith	digitjudgement	16.0	arithmetic	DigitJudgement	0.0	0.0	arith_digitjudgement	9	ses-s1	arith_digitjudgement	-0.032618209599745755	-0.018508058811666478	MDTB
checkbrd	task	16.0	checkerBoard	CheckerBoard	0.0	0.0	checkbrd_task	10	ses-s1	checkbrd_task	0.037198531354963954	-0.007831458776713264	MDTB
emotface	sad	16.0	emotional	SadFaces	0.0	0.0	emotface_sad	11	ses-s1	emotface_sad	0.012312666996515094	-0.023677381222367688	MDTB
emotface	happy	16.0	emotional	HappyFaces	0.0	0.0	emotface_happy	12	ses-s1	emotface_happy	0.011264427813472208	-0.02276640608139424	MDTB
intrval	task	16.0	intervalTiming	IntervalTiming	0.0	0.0	intrval_task	13	ses-s1	intrval_task	-0.027377163748836048	0.009257896841376699	MDTB
mtrimgry	task	16.0	motorImagery	MotorImagery	0.0	0.0	mtrimgry_task	14	ses-s1	mtrimgry_task	-0.016745586510383926	-0.011190621442368074	MDTB
fingr	simple	16.0	motorSequence	FingerSimple	0.0	1.0	fingr_simple	15	ses-s1	fingr_simple	0.006987567552423827	0.020382582992065395	MDTB
fingr	sequence	16.0	motorSequence	FingerSeq	0.0	1.0	fingr_sequence	16	ses-s1	fingr_sequence	0.02189575914381432	0.04523415359797936	MDTB
nbckverb	2bcknrep	16.0	nBack	Verbal0Back	0.0	0.0	nbckverb_2bcknrep	17	ses-s1	nbckverb_2bcknrep	-0.03711976172254521	-0.00680069062367693	MDTB
nbckverb	2bckrep	16.0	nBack	Verbal2Back	0.0	0.0	nbckverb_2bckrep	18	ses-s1	nbckverb_2bckrep	-0.020437765262577397	0.016014839191035298	MDTB
nbckpic	2bcknrep	16.0	nBackPic	Object0Back	0.0	1.0	nbckpic_2bcknrep	19	ses-s1	nbckpic_2bcknrep	0.0003072662481668451	-0.005637136968101934	MDTB
nbckpic	2bckrep	16.0	nBackPic	Object2Back	0.0	1.0	nbckpic_2bckrep	20	ses-s1	nbckpic_2bckrep	-0.010078308343372904	0.0041238886708241575	MDTB
spatialnav	task	16.0	spatialNavigation	SpatialNavigation	0.0	1.0	spatialnav_task	21	ses-s1	spatialnav_task	0.0020493178629821117	-0.00852537617551397	MDTB
stroop	incon	16.0	stroop	StroopIncon	0.0	0.0	stroop_incon	22	ses-s1	stroop_incon	-0.017746767260405347	0.0040098527836941525	MDTB
stroop	con	16.0	stroop	StroopCon	0.0	0.0	stroop_con	23	ses-s1	stroop_con	-0.03303223398317353	-0.006385520307638986	MDTB
vrbgen	generate	16.0	verbGeneration	VerbGen	0.0	1.0	vrbgen_generate	24	ses-s1	vrbgen_generate	-0.009192103206523944	0.007844113455803218	MDTB
vrbgen	read	16.0	verbGeneration	WordRead	0.0	1.0	vrbgen_read	25	ses-s1	vrbgen_read	-0.010349886247345274	-0.01054347762456613	MDTB
vissearch	small	16.0	visualSearch	VisualSearchSmall	0.0	1.0	vissearch_small	26	ses-s1	vissearch_small	0.024224981577186347	0.007235478399183618	MDTB
vissearch	med	16.0	visualSearch	VisualSearchMed	0.0	1.0	vissearch_med	27	ses-s1	vissearch_med	0.01956570517848612	0.00906282635886172	MDTB
vissearch	large	16.0	visualSearch	VisualSearchLarge	0.0	1.0	vissearch_large	28	ses-s1	vissearch_large	0.035133492788786	0.016345549584906194	MDTB
rest	task	16.0	rest	rest	0.0	1.0	rest_task	29	ses-s1	rest_task	-0.023420843042192704	-0.011950138127736681	MDTB
cpro	task	16.0	CPRO	CPRO	0.0	0.0	cpro_task	1	ses-s2	cpro_task	-0.02384974301447575	-0.001607037875109141	MDTB
sntncpredict	nviolation	16.0	prediction	Prediction	0.0	0.0	sntncpredict_nviolation	2	ses-s2	sntncpredict_nviolation	-0.01922916435446268	-0.009666105104067754	MDTB
sntncpredict	violation	16.0	prediction	PredictViol	0.0	0.0	sntncpredict_violation	3	ses-s2	sntncpredict_violation	-0.02552952325401529	-0.014424764684411555	MDTB
sntncpredict	scrambeled	16.0	prediction	PredictScram	0.0	0.0	sntncpredict_scrambeled	4	ses-s2	sntncpredict_scrambeled	-0.015410398285379014	-0.009078739054238097	MDTB
