eval_subj	num_regions	subj_id	mname	R_train	R2_train	logalpha	train_dataset	train_ses	run	cond_num	method	cerebellum	cortex	parcellation	crossed	validate_model	type	add_rest	cortical_cerebellar_act	std_cortex	std_cerebellum	append	eval_dataset	eval_ses	splitby	subj_list	cortical_act	dataset	model	mix_param	R_eval	R2_eval	noise_Y_R	noise_Y_R2	noise_X_R	noise_X_R2	group_noiseceil_Y_upper	group_noiseceil_Y_lower	noiseceiling_Y	noiseceiling_XY	R_eval_adj	task_code	isbest	extension	group_noiseceil_Y	mean_group_noiseceil_Y
sub-01	1876	group	MDTB_all_Icosahedron1002_L2reg_A6_group	0.9261764392224012	0.8503542780395004	6.0	MDTB	all	all	all	L2reg	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	True	avg	parcel	global	False	Language	ses-localizer		all	avg	MDTB	group		0.2087240765324215	0.0363928865221696	0.3871892389560328	-0.2256215220879347	0.9579499031175654	0.9158998062351308	0.3641851522855346	0.2473897821081015	0.6222453205577626	0.609022080015245	0.50647226970515		True		0.30578746719681804	0.4121135331929094
sub-02	1876	group	MDTB_all_Icosahedron1002_L2reg_A6_group	0.9261764392224012	0.8503542780395004	6.0	MDTB	all	all	all	L2reg	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	True	avg	parcel	global	False	Language	ses-localizer		all	avg	MDTB	group		0.2761407420309285	0.0759552480068516	0.5018152281152638	0.0036304562305272	0.9579499031175654	0.9158998062351308	0.4730731076981032	0.3661682893766651	0.7083891784289649	0.6933353078820781	0.67005987377189		True		0.41962069853738415	0.4121135331929094
sub-03	1876	group	MDTB_all_Icosahedron1002_L2reg_A6_group	0.9261764392224012	0.8503542780395004	6.0	MDTB	all	all	all	L2reg	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	True	avg	parcel	global	False	Language	ses-localizer		all	avg	MDTB	group		0.0940760993939834	-0.0308863934822511	0.0695928065160143	-0.860814386967971	0.9579499031175654	0.9158998062351308	0.1998680965539343	0.0747782416354455	0.26380448539783075	0.25819841645466257	0.2282771416534545		True		0.1373231690946899	0.4121135331929094
sub-04	1876	group	MDTB_all_Icosahedron1002_L2reg_A6_group	0.9261764392224012	0.8503542780395004	6.0	MDTB	all	all	all	L2reg	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	True	avg	parcel	global	False	Language	ses-localizer		all	avg	MDTB	group		0.3037415804148389	0.0921523461182783	0.4572398892552589	-0.0855202214894821	0.9579499031175654	0.9158998062351308	0.468165350113162	0.3607351048250393	0.6761951561903257	0.6618254359070537	0.7370337442246968		True		0.41445022746910065	0.4121135331929094
sub-06	1876	group	MDTB_all_Icosahedron1002_L2reg_A6_group	0.9261764392224012	0.8503542780395004	6.0	MDTB	all	all	all	L2reg	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	True	avg	parcel	global	False	Language	ses-localizer		all	avg	MDTB	group		0.3873404878038136	0.1412109901403608	0.4820052584385121	-0.0359894831229754	0.9579499031175654	0.9158998062351308	0.4953774006254498	0.3909578721265422	0.6942659853676486	0.6795122446456207	0.9398878139303919		True		0.443167636375996	0.4121135331929094
sub-07	1876	group	MDTB_all_Icosahedron1002_L2reg_A6_group	0.9261764392224012	0.8503542780395004	6.0	MDTB	all	all	all	L2reg	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	True	avg	parcel	global	False	Language	ses-localizer		all	avg	MDTB	group		0.4698010784610064	0.1896016317079492	0.6503653713086995	0.300730742617399	0.9579499031175654	0.9158998062351308	0.5700560176232586	0.4751455296584139	0.8064523366626818	0.7893145408746681	1.1399797401001475		True		0.5226007736408362	0.4121135331929094
sub-08	1876	group	MDTB_all_Icosahedron1002_L2reg_A6_group	0.9261764392224012	0.8503542780395004	6.0	MDTB	all	all	all	L2reg	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	True	avg	parcel	global	False	Language	ses-localizer		all	avg	MDTB	group		0.352422957646559	0.1207202117843148	0.5027570808559492	0.0055141617118982	0.9579499031175654	0.9158998062351308	0.4691087144441176	0.3617788695260082	0.7090536516061032	0.6939856604409248	0.855159875280268		True		0.41544379198506287	0.4121135331929094
sub-09	1876	group	MDTB_all_Icosahedron1002_L2reg_A6_group	0.9261764392224012	0.8503542780395004	6.0	MDTB	all	all	all	L2reg	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	True	avg	parcel	global	False	Language	ses-localizer		all	avg	MDTB	group		0.3537096308500794	0.1214752747945354	0.4270309038939348	-0.1459381922121303	0.9579499031175654	0.9158998062351308	0.4718310621582832	0.3647925429886709	0.653476016311184	0.6395890970094794	0.858282008139026		True		0.41831180257347705	0.4121135331929094
sub-10	1876	group	MDTB_all_Icosahedron1002_L2reg_A6_group	0.9261764392224012	0.8503542780395004	6.0	MDTB	all	all	all	L2reg	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	True	avg	parcel	global	False	Language	ses-localizer		all	avg	MDTB	group		0.246176865312944	0.0583714397091006	0.4908279502942123	-0.0183440994115753	0.9579499031175654	0.9158998062351308	0.4193535797030959	0.3071114975741875	0.7005911434597302	0.6857029877663753	0.5973520534636487		True		0.3632325386386417	0.4121135331929094
sub-12	1876	group	MDTB_all_Icosahedron1002_L2reg_A6_group	0.9261764392224012	0.8503542780395004	6.0	MDTB	all	all	all	L2reg	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	True	avg	parcel	global	False	Language	ses-localizer		all	avg	MDTB	group		0.3403281342526449	0.113622563574259	0.5154227921334548	0.0308455842669093	0.9579499031175654	0.9158998062351308	0.4881890882116343	0.3829510827084374	0.7179295175248437	0.7026729066847733	0.8258115952075228		True		0.43557008546003584	0.4121135331929094
