eval_subj	num_regions	subj_id	mname	R_train	R2_train	logalpha	train_dataset	train_ses	run	cond_num	method	cerebellum	cortex	parcellation	crossed	validate_model	type	add_rest	cortical_cerebellar_act	std_cortex	std_cerebellum	append	eval_dataset	eval_ses	splitby	subj_list	cortical_act	dataset	model	mix_param	R_eval	R2_eval	noise_Y_R	noise_Y_R2	noise_X_R	noise_X_R2	group_noiseceil_Y_upper	group_noiseceil_Y_lower	noiseceiling_Y	noiseceiling_XY	R_eval_adj	task_code	isbest	extension	group_noiseceil_Y	mean_group_noiseceil_Y
sub-01	1876	group	MDTB_all_Icosahedron1002_NNLS_A0_group	0.8847912007977822	0.7803167476211299	0.0	MDTB	all	all	all	NNLS	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	False	avg	parcel	global	False	Language	ses-localizer		all	avg	MDTB	group		0.2171298788969371	0.0359060815142198	0.3871892389560327	-0.2256215220879345	0.8863475652161737	0.7726951304323477	0.3641851522855346	0.2473897821081015	0.6222453205577626	0.5858192888823164	0.5268690819607207	all	True		0.30578746719681804	0.4121135331929093
sub-02	1876	group	MDTB_all_Icosahedron1002_NNLS_A0_group	0.8847912007977822	0.7803167476211299	0.0	MDTB	all	all	all	NNLS	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	False	avg	parcel	global	False	Language	ses-localizer		all	avg	MDTB	group		0.2227989414723001	0.0395699451473099	0.5018152281152638	0.0036304562305273	0.8863475652161737	0.7726951304323477	0.473073107698103	0.3661682893766652	0.7083891784289649	0.6669203143017634	0.5406251518753413	all	True		0.4196206985373841	0.4121135331929093
sub-03	1876	group	MDTB_all_Icosahedron1002_NNLS_A0_group	0.8847912007977822	0.7803167476211299	0.0	MDTB	all	all	all	NNLS	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	False	avg	parcel	global	False	Language	ses-localizer		all	avg	MDTB	group		0.0667467712351488	-0.0612851545796591	0.0695928065160144	-0.8608143869679712	0.8863475652161737	0.7726951304323477	0.1998680965539342	0.0747782416354455	0.26380448539783097	0.24836145959473993	0.16196209505186235	all	True		0.13732316909468983	0.4121135331929093
sub-04	1876	group	MDTB_all_Icosahedron1002_NNLS_A0_group	0.8847912007977822	0.7803167476211299	0.0	MDTB	all	all	all	NNLS	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	False	avg	parcel	global	False	Language	ses-localizer		all	avg	MDTB	group		0.3007182905941129	0.0899285125058948	0.4572398892552588	-0.0855202214894821	0.8863475652161737	0.7726951304323477	0.4681653501131618	0.3607351048250393	0.6761951561903256	0.6366109192914551	0.7296976837044259	all	True		0.41445022746910054	0.4121135331929093
sub-06	1876	group	MDTB_all_Icosahedron1002_NNLS_A0_group	0.8847912007977822	0.7803167476211299	0.0	MDTB	all	all	all	NNLS	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	False	avg	parcel	global	False	Language	ses-localizer		all	avg	MDTB	group		0.324578156104834	0.1053489267936221	0.4820052584385123	-0.0359894831229756	0.8863475652161737	0.7726951304323477	0.4953774006254496	0.3909578721265421	0.6942659853676487	0.6536238882097011	0.7875940243702207	all	True		0.4431676363759959	0.4121135331929093
sub-07	1876	group	MDTB_all_Icosahedron1002_NNLS_A0_group	0.8847912007977822	0.7803167476211299	0.0	MDTB	all	all	all	NNLS	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	False	avg	parcel	global	False	Language	ses-localizer		all	avg	MDTB	group		0.4299616666024458	0.1734573321087339	0.6503653713086996	0.300730742617399	0.8863475652161737	0.7726951304323477	0.5700560176232585	0.475145529658414	0.8064523366626819	0.7592428882514335	1.043308777732329	all	True		0.5226007736408362	0.4121135331929093
sub-08	1876	group	MDTB_all_Icosahedron1002_NNLS_A0_group	0.8847912007977822	0.7803167476211299	0.0	MDTB	all	all	all	NNLS	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	False	avg	parcel	global	False	Language	ses-localizer		all	avg	MDTB	group		0.3152736379483815	0.0993355012503931	0.5027570808559492	0.0055141617118983	0.8863475652161737	0.7726951304323477	0.4691087144441174	0.3617788695260083	0.7090536516061032	0.6675458894427121	0.765016464045122	all	True		0.41544379198506287	0.4121135331929093
sub-09	1876	group	MDTB_all_Icosahedron1002_NNLS_A0_group	0.8847912007977822	0.7803167476211299	0.0	MDTB	all	all	all	NNLS	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	False	avg	parcel	global	False	Language	ses-localizer		all	avg	MDTB	group		0.3394166039521323	0.1149388808145015	0.4270309038939348	-0.1459381922121303	0.8863475652161737	0.7726951304323477	0.4718310621582831	0.364792542988671	0.653476016311184	0.6152217502156853	0.8235997525304569	all	True		0.418311802573477	0.4121135331929093
sub-10	1876	group	MDTB_all_Icosahedron1002_NNLS_A0_group	0.8847912007977822	0.7803167476211299	0.0	MDTB	all	all	all	NNLS	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	False	avg	parcel	global	False	Language	ses-localizer		all	avg	MDTB	group		0.2267426465412715	0.0421187259006975	0.4908279502942124	-0.0183440994115755	0.8863475652161737	0.7726951304323477	0.4193535797030959	0.3071114975741875	0.7005911434597303	0.6595787736755332	0.5501946145387413	all	True		0.3632325386386417	0.4121135331929093
sub-12	1876	group	MDTB_all_Icosahedron1002_NNLS_A0_group	0.8847912007977822	0.7803167476211299	0.0	MDTB	all	all	all	NNLS	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	False	avg	parcel	global	False	Language	ses-localizer		all	avg	MDTB	group		0.2999078630208932	0.0894047405289056	0.5154227921334548	0.0308455842669095	0.8863475652161737	0.7726951304323477	0.4881890882116342	0.3829510827084376	0.7179295175248437	0.6759021651573619	0.7277311683926359	all	True		0.4355700854600359	0.4121135331929093
sub-13	1876	group	MDTB_all_Icosahedron1002_NNLS_A0_group	0.8847912007977822	0.7803167476211299	0.0	MDTB	all	all	all	NNLS	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	False	avg	parcel	global	False	Language	ses-localizer		all	avg	MDTB	group		0.3646330545564783	0.1312360437222428	0.5232132624433942	0.0464265248867878	0.8863475652161737	0.7726951304323477	0.4526644341680764	0.3436249502773909	0.7233348204278529	0.6809910434473521	0.8847878683610094	all	True		0.39814469222273363	0.4121135331929093
sub-14	1876	group	MDTB_all_Icosahedron1002_NNLS_A0_group	0.8847912007977822	0.7803167476211299	0.0	MDTB	all	all	all	NNLS	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	False	avg	parcel	global	False	Language	ses-localizer		all	avg	MDTB	group		0.3536667638335946	0.1241486296682725	0.4680738574893975	-0.0638522850212051	0.8863475652161737	0.7726951304323477	0.502118249562226	0.398481472656144	0.6841592340160275	0.6441087826812096	0.8581779906461943	all	True		0.45029986110918496	0.4121135331929093
sub-15	1876	group	MDTB_all_Icosahedron1002_NNLS_A0_group	0.8847912007977822	0.7803167476211299	0.0	MDTB	all	all	all	NNLS	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	False	avg	parcel	global	False	Language	ses-localizer		all	avg	MDTB	group		0.4023233552225213	0.1555949425868757	0.5838216557114564	0.1676433114229125	0.8863475652161737	0.7726951304323477	0.495612087058767	0.3912195625324595	0.7640822309879064	0.7193531143050154	0.9762439784625921	all	True		0.44341582479561326	0.4121135331929093
sub-16	1876	group	MDTB_all_Icosahedron1002_NNLS_A0_group	0.8847912007977822	0.7803167476211299	0.0	MDTB	all	all	all	NNLS	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	False	avg	parcel	global	False	Language	ses-localizer		all	avg	MDTB	group		0.3074807089578792	0.0942990020507481	0.4511509026232945	-0.097698194753411	0.8863475652161737	0.7726951304323477	0.4206705415539832	0.3085485185677259	0.6716776776276657	0.6323578924036894	0.7461067987154605	all	True		0.36460953006085456	0.4121135331929093
sub-17	1876	group	MDTB_all_Icosahedron1002_NNLS_A0_group	0.8847912007977822	0.7803167476211299	0.0	MDTB	all	all	all	NNLS	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	False	avg	parcel	global	False	Language	ses-localizer		all	avg	MDTB	group		0.388698785936783	0.1467895072509754	0.6859347918686499	0.3718695837372995	0.8863475652161737	0.7726951304323477	0.6162335394609714	0.5281472721474321	0.8282118037486847	0.7797285634564382	0.9431837458121863	all	True		0.5721904058042018	0.4121135331929093
sub-18	1876	group	MDTB_all_Icosahedron1002_NNLS_A0_group	0.8847912007977822	0.7803167476211299	0.0	MDTB	all	all	all	NNLS	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	False	avg	parcel	global	False	Language	ses-localizer		all	avg	MDTB	group		0.2726020618546252	0.0717572493369302	0.3813839300628586	-0.2372321398742829	0.8863475652161737	0.7726951304323477	0.5093500246847459	0.4065694641077361	0.6175628956331967	0.581410971537165	0.661473210410251	all	True		0.457959744396241	0.4121135331929093
sub-19	1876	group	MDTB_all_Icosahedron1002_NNLS_A0_group	0.8847912007977822	0.7803167476211299	0.0	MDTB	all	all	all	NNLS	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	False	avg	parcel	global	False	Language	ses-localizer		all	avg	MDTB	group		0.3346112481380696	0.1118332230135599	0.5184824697861624	0.0369649395723248	0.8863475652161737	0.7726951304323477	0.4959770617029432	0.3916265681342306	0.7200572684072861	0.6779053582191495	0.8119394807193554	all	True		0.4438018149185869	0.4121135331929093
sub-03	1876	group	MDTB_all_Icosahedron1002_NNLS_A0_group	0.8847912007977822	0.7803167476211299	0.0	MDTB	all	all	all	NNLS	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	False	avg	parcel	global	False	Social	ses-social		all	avg	MDTB	group		0.0581816163489455	-0.0790722157415553	0.1774548673795412	-0.6450902652409174	0.8628414790424991	0.7256829580849982	0.2463044998148955	0.1226302231761898	0.4212539226874228	0.3912996552938091	0.192935929013523	all	True		0.18446736149554266	0.3015592619084832
sub-04	1876	group	MDTB_all_Icosahedron1002_NNLS_A0_group	0.8847912007977822	0.7803167476211299	0.0	MDTB	all	all	all	NNLS	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	False	avg	parcel	global	False	Social	ses-social		all	avg	MDTB	group		0.326902326234009	0.1065253513562756	0.32877487983839	-0.3424502403232199	0.8628414790424991	0.7256829580849982	0.4357409143774031	0.3248850311753789	0.573388942898614	0.5326167511370407	1.08404007943625	all	True		0.380312972776391	0.3015592619084832
sub-05	1876	group	MDTB_all_Icosahedron1002_NNLS_A0_group	0.8847912007977822	0.7803167476211299	0.0	MDTB	all	all	all	NNLS	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	False	avg	parcel	global	False	Social	ses-social		all	avg	MDTB	group		0.1107910642649268	-0.0427364024589003	0.2760980549218227	-0.4478038901563548	0.8628414790424991	0.7256829580849982	0.2938413160351822	0.1723988182517698	0.5254503353522793	0.4880869329018168	0.36739400263736394	all	True		0.233120067143476	0.3015592619084832
sub-07	1876	group	MDTB_all_Icosahedron1002_NNLS_A0_group	0.8847912007977822	0.7803167476211299	0.0	MDTB	all	all	all	NNLS	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	False	avg	parcel	global	False	Social	ses-social		all	avg	MDTB	group		0.2909271755298803	0.0816783626388079	0.3782779308518416	-0.243444138296317	0.8628414790424991	0.7256829580849982	0.4490047187053557	0.3394516746135416	0.6150430317074096	0.5713089263658842	0.9647429619262382	all	True		0.39422819665944864	0.3015592619084832
sub-08	1876	group	MDTB_all_Icosahedron1002_NNLS_A0_group	0.8847912007977822	0.7803167476211299	0.0	MDTB	all	all	all	NNLS	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	False	avg	parcel	global	False	Social	ses-social		all	avg	MDTB	group		0.3542771228258673	0.1254323259970468	0.4295419000981784	-0.1409161998036434	0.8628414790424991	0.7256829580849982	0.446243258423237	0.336414412974997	0.6553944614491172	0.6087910712152713	1.1748175817374924	all	True		0.39132883569911703	0.3015592619084832
sub-09	1876	group	MDTB_all_Icosahedron1002_NNLS_A0_group	0.8847912007977822	0.7803167476211299	0.0	MDTB	all	all	all	NNLS	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	False	avg	parcel	global	False	Social	ses-social		all	avg	MDTB	group		0.2449866998760632	0.0499486142457179	0.414590320689452	-0.1708193586210962	0.8628414790424991	0.7256829580849982	0.3662745201628892	0.2494832054687539	0.6438868850112199	0.5981017685146824	0.8123998524389924	all	True		0.30787886281582155	0.3015592619084832
sub-10	1876	group	MDTB_all_Icosahedron1002_NNLS_A0_group	0.8847912007977822	0.7803167476211299	0.0	MDTB	all	all	all	NNLS	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	False	avg	parcel	global	False	Social	ses-social		all	avg	MDTB	group		0.1946809083597958	0.0152038693381024	0.4449596989293815	-0.1100806021412368	0.8628414790424991	0.7256829580849982	0.3857592323948106	0.270484270553977	0.66705299559284	0.6196205974130723	0.6455809286961224	all	True		0.3281217514743938	0.3015592619084832
sub-11	1876	group	MDTB_all_Icosahedron1002_NNLS_A0_group	0.8847912007977822	0.7803167476211299	0.0	MDTB	all	all	all	NNLS	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	False	avg	parcel	global	False	Social	ses-social		all	avg	MDTB	group		0.0664683112283386	-0.0733488369608308	0.2166528358973638	-0.5666943282052723	0.8628414790424991	0.7256829580849982	0.2281745242829192	0.1038156847195352	0.46545981125910735	0.4323621784620311	0.22041541953538246	all	True		0.1659951045012272	0.3015592619084832
sub-12	1876	group	MDTB_all_Icosahedron1002_NNLS_A0_group	0.8847912007977822	0.7803167476211299	0.0	MDTB	all	all	all	NNLS	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	False	avg	parcel	global	False	Social	ses-social		all	avg	MDTB	group		0.1242995325551232	-0.0334064968816525	0.2997301539181098	-0.4005396921637807	0.8628414790424991	0.7256829580849982	0.2945804793573497	0.1731777448775694	0.5474761674430311	0.508546565537845	0.41218940439257823	all	True		0.23387911211745954	0.3015592619084832
sub-13	1876	group	MDTB_all_Icosahedron1002_NNLS_A0_group	0.8847912007977822	0.7803167476211299	0.0	MDTB	all	all	all	NNLS	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	False	avg	parcel	global	False	Social	ses-social		all	avg	MDTB	group		0.1443950923524469	-0.0195270790673443	0.141606761612117	-0.7167864767757659	0.8628414790424991	0.7256829580849982	0.3148698939723958	0.1946199807498714	0.37630673872801823	0.3495485483188531	0.4788282456941009	all	True		0.25474493736113357	0.3015592619084832
sub-14	1876	group	MDTB_all_Icosahedron1002_NNLS_A0_group	0.8847912007977822	0.7803167476211299	0.0	MDTB	all	all	all	NNLS	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	False	avg	parcel	global	False	Social	ses-social		all	avg	MDTB	group		0.276246786246154	0.0715390453667076	0.3713297760749484	-0.2573404478501033	0.8628414790424991	0.7256829580849982	0.480366190533566	0.374115112080969	0.6093683418712761	0.56603774891877	0.9160613555619758	all	True		0.4272406513072675	0.3015592619084832
sub-16	1876	group	MDTB_all_Icosahedron1002_NNLS_A0_group	0.8847912007977822	0.7803167476211299	0.0	MDTB	all	all	all	NNLS	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	False	avg	parcel	global	False	Social	ses-social		all	avg	MDTB	group		0.3358408150079192	0.1126989051946775	0.2568562612155274	-0.4862874775689454	0.8628414790424991	0.7256829580849982	0.4835097079082266	0.3776069426833837	0.506809886659216	0.47077195788251036	1.1136809822469975	all	True		0.4305583252958052	0.3015592619084832
